"genotype","severity","defoliation"
"1",51.75,4487.5
"1",31.8511904761905,4425
"1",27.6636904761905,3675
"1",193.133928571429,8800
"1",55.625,5737.5
"2",192.916666666667,6550
"2",174.202380952381,5200
"2",171.595238095238,7287.5
"2",213.402777777778,6875
"2",107.119047619048,6450
"3",141.017857142857,3912.5
"3",143.360714285714,3387.5
"3",155.894841269841,5675
"3",175.118055555555,6700
"3",195.928571428571,7400
"4",157.157738095238,10087.5
"4",176.863095238095,6987.5
"4",299.321428571429,4875
"4",234.083333333333,8987.5
"4",147.583333333333,7100
"5",342.491071428571,10062.5
"5",156.794642857143,7187.5
"5",179.53125,10150
"5",203.955357142857,8087.5
"5",252.27380952381,6250
"6",182.982142857143,9812.5
"6",205.979166666667,7912.5
"6",205.684523809524,7487.5
"6",203.229166666667,9587.5
"6",165.720238095238,7962.5
"7",12.5416666666667,6437.5
"7",3.25,6187.5
"7",37.6666666666667,10150
"7",12.9464285714286,8550
"7",13.3630952380952,8325
"8",233.375,12512.5
"8",289.3125,12412.5
"8",227.796130952381,12900
"8",166.425595238095,7400
"8",210.690476190476,9562.5
"9",193.747023809524,10662.5
"9",181.728174603175,7300
"9",236.761904761905,8625
"9",165.75,5750
"9",292.285714285714,10487.5
"10",59.6289682539682,1662.5
"10",30.1071428571429,1725
"10",12,2037.5
"10",13.3333333333333,874.999999999999
"10",10.25,1862.5
"11",55.327380952381,3050
"11",57.8571428571429,5000
"11",50.0208333333333,3237.5
"11",46.0833333333333,3475
"11",75,6112.5
"12",167.441468253968,7087.5
"12",170.107142857143,3662.5
"12",199.369047619048,7275
"12",114.428571428571,2800
"12",254.380158730159,6887.5
"13",202.9375,9987.5
"13",201.611111111111,13587.5
"13",147.66369047619,10575
"13",178.123214285714,11575
"13",235.361111111111,8262.5
"14",230.696428571429,11075
"14",185.6875,9600
"14",179.071428571429,7062.5
"14",252.666666666667,11787.5
"14",266.154761904762,10975
"15",327.319444444444,10212.5
"15",194.093253968254,8912.5
"15",280.479166666667,10275
"15",337.357142857143,13012.5
"15",218.910714285714,8487.5
"16",3,7025
"16",8.33333333333334,5675
"16",2.74999999999999,10212.5
"16",0,7550
"16",0,5450
"17",177.872023809524,2175
"17",257.381944444445,4337.5
"17",238.613095238095,7562.5
"17",260.173611111111,4150
"17",259.0625,4012.5
"18",170.892857142857,4175
"18",199.744047619048,4937.5
"18",174.66369047619,3637.5
"18",182.795634920635,2325
"18",221.574404761905,5137.5
"19",214.678571428571,5850
"19",272.791666666667,6875
"19",187.678571428571,4150
"19",212.958333333333,3550
"19",200.669642857143,5312.5
"20",6,1862.5
"20",2.00892857142856,5487.5
"20",0,7212.5
"20",1.11111111111111,7650
"20",2.32142857142857,4525
"21",267.805555555555,8625
"21",187.875,10037.5
"21",253.455357142857,10100
"21",254.279761904762,7250
"21",278.389880952381,7825
"22",256.514880952381,8175
"22",231.142857142857,6450
"22",267.47619047619,6462.5
"22",246.133928571429,7850
"22",298.625,9812.5
"23",249.011904761905,12212.5
"23",250.785714285714,11162.5
"23",325.083333333333,10737.5
"23",281.267857142857,7050
"23",270.4375,5737.5
"24",127.568452380952,6250
"24",41.4553571428571,3737.5
"24",79.6527777777778,3837.5
"24",119.986607142857,7887.5
"24",107.336309523809,8037.5
"25",171.420634920635,4762.5
"25",230.434523809524,8750
"25",174.478174603175,7412.5
"25",194.722222222222,5575
"25",209.249007936508,4987.5
"26",2.5,1125
"26",9.78571428571429,2525
"26",10.1428571428572,1562.5
"26",10.8273809523809,1850
"26",3.75,1550
"27",6.02678571428571,5500
"27",12.75,5012.5
"27",11.7857142857143,3050
"27",6,5137.5
"27",14.7380952380952,4800
"28",10.7142857142857,7725
"28",16.7857142857143,6537.5
"28",35.7886904761905,5462.5
"28",9,6100
"28",10.0833333333333,1787.5
"29",37.5753968253969,3087.5
"29",31.8224206349207,4487.5
"29",79.5029761904762,5150
"29",136.060317460318,9012.5
"29",131.507936507937,10325
"30",155.178571428572,5975
"30",149.604166666667,4887.5
"30",158.982142857143,6437.5
"30",194.825396825397,4300
"30",261.267857142857,7825
"31",218.839285714286,13000
"31",213.944444444444,7525
"31",222.354166666666,11925
"31",232.910714285714,10987.5
"31",324.992063492063,5087.5
"32",172.881944444444,7250
"32",194.857142857143,3325
"32",194.751984126984,5600
"32",307,11612.5
"32",206.053571428572,6912.5
"33",165.996031746032,4675
"33",98.3630952380952,11487.5
"33",181.402777777778,6125
"33",242.023809523809,6637.5
"33",254.761904761904,7575
"34",33.484126984127,2025
"34",27.5833333333333,987.500000000001
"34",18.7083333333333,1550
"34",9.16666666666667,2675
"34",14.7946428571428,1400
"35",55.327380952381,3050
"35",57.8571428571429,5000
"35",50.0208333333333,3237.5
"35",46.0833333333333,3475
"35",75,6112.5
"36",226.948412698413,3975
"36",194.104166666667,3475
"36",340.47619047619,10387.5
"36",307.452976190477,7925
"36",260.424603174603,6612.5
"37",62.360119047619,6912.5
"37",57.7529761904762,7587.5
"37",41.2291666666667,4325
"37",22.5416666666667,4550
"37",41.5833333333333,8050
"38",10.8541666666667,662.5
"38",19.75,1312.5
"38",21.4166666666667,2837.5
"38",20.9583333333333,1637.5
"38",5.625,2812.5
"39",10.5595238095238,5337.5
"39",22.625,5337.5
"39",38.6666666666667,8637.5
"39",10.8630952380953,3887.5
"39",13.0178571428571,6562.5
"40",161.642857142857,9800
"40",131.946428571429,10812.5
"40",157.395833333333,5212.5
"40",122.508928571429,8075
"40",244.25,8662.5
"41",184.916666666667,11550
"41",207.64880952381,9025
"41",197.854166666667,10000
"41",121.782738095238,7375
"41",127.485119047619,6800
"42",70.1071428571429,2800
"42",69.5565476190476,3725
"42",16.7976190476191,2300
"42",133.894841269841,4012.5
"42",28.1597222222222,999.999999999999
"43",34.5833333333333,3825
"43",15.7261904761905,3287.5
"43",43.8878968253968,3087.5
"43",25.875,3387.5
"43",35.0208333333333,1950
"44",153.115079365079,4437.5
"44",184.822420634921,3700
"44",134.755952380952,3437.5
"44",233.922619047619,6675
"44",237.649801587302,4725
"45",137.613095238095,2612.5
"45",197.869047619048,5762.5
"45",206.996031746032,5662.5
"45",306.428571428571,12112.5
"45",295.791666666667,11425
"46",3.68253968253968,1037.5
"46",14.1666666666667,1400
"46",4.25,3087.5
"46",1.5,1550
"46",4.58333333333334,462.5
"47",35.0476190476191,7412.5
"47",39.6875,6537.5
"47",31.2619047619048,5725
"47",28.4077380952381,2325
"47",27.4166666666667,3887.5
"48",352.369047619047,10025
"48",262.238095238095,6425
"48",239.982142857143,8550
"48",312.744047619047,10587.5
"48",323.119047619047,8637.5
"49",103.327380952381,6575
"49",171.862103174603,5487.5
"49",223.236111111111,7737.5
"49",200.575396825397,7325
"49",72.2896825396826,2050
"50",50.5109126984127,3300
"50",65.2013888888889,2162.5
"50",128.071428571429,6025
"50",32.4126984126984,3612.5
"50",32.9722222222222,1862.5
"51",118.369047619048,7350
"51",59.6339285714285,7387.5
"51",153.375,8625
"51",197.96626984127,5437.5
"51",182.595238095238,4937.5
"52",8.72619047619046,4937.5
"52",13.7053571428571,5825
"52",15.875,5587.5
"52",9.64285714285715,3262.5
"52",8.17460317460318,2050
"53",2.25,3512.5
"53",1.5,600
"53",0.75,2250
"53",0,3087.5
"53",0,1562.5
"54",45.7559523809524,2850
"54",15.8571428571429,312.5
"54",23.75,2012.5
"54",6,2187.5
"54",9.75,4262.5
"55",369.150793650794,10062.5
"55",288.625,7850
"55",199.972222222222,6350
"55",220.06746031746,8125
"55",164.761904761905,10325
"56",78.7311507936508,5150
"56",99.1488095238093,4500
"56",67.3541666666667,2562.5
"56",61.9662698412698,3787.5
"56",81.2083333333333,5100
"57",58.9176587301587,2162.5
"57",20.4265873015873,3500
"57",26.4642857142857,6262.5
"57",20.9642857142857,6900
"57",19.9047619047619,8837.5
"58",19,3162.5
"58",48.8124999999999,3537.5
"58",103.309523809524,3725
"58",119.80753968254,3825
"58",24.5,3362.5
"59",186.296626984127,5975
"59",194.685515873016,6900
"59",144.583333333333,6275
"59",108.598214285714,8012.5
"59",178.517857142857,4762.5
"60",247.457341269842,8150
"60",307.560515873016,6412.5
"60",181.25,3537.5
"60",160.181547619048,4112.5
"60",237.017857142857,2512.5
"61",261.547619047619,5087.5
"61",277.499007936508,5062.5
"61",176.5625,7675
"61",185.252976190476,2050
"61",248.235119047619,3062.5
"62",0.75,6162.5
"62",0,3325
"62",0,5725
"62",0,5712.5
"62",0,11750
"63",11.0208333333333,5575
"63",25.7321428571428,5075
"63",6.97916666666667,3375
"63",10.4166666666667,2150
"63",13.4285714285714,1787.5
"64",199.8125,9612.5
"64",133.375,9025
"64",195.014880952381,7712.5
"64",206.821428571429,11325
"64",165.154761904762,6812.5
"65",13.2142857142857,4500
"65",6.875,5900
"65",3.33333333333333,7237.5
"65",2.74999999999999,9462.5
"65",3.57142857142857,8375
"66",205.561507936508,8075
"66",247.766865079365,7287.5
"66",303.042658730159,8150
"66",306.560515873016,5975
"66",283.193452380952,5962.5
"67",139.568452380952,2412.5
"67",79.7281746031746,4012.5
"67",75.5773809523809,3850
"67",42.6547619047619,2637.5
"67",78.9375,2637.5
"68",259.375,9500
"68",254.859126984127,4512.5
"68",219.118055555556,3387.5
"68",334.208333333333,11837.5
"68",247.263888888889,7075
"69",5.41666666666667,5537.5
"69",36.0238095238096,7350
"69",11.5625,4687.5
"69",16.5833333333333,4725
"69",28.5535714285714,7000
"70",0,5237.5
"70",3.5922619047619,6875
"70",2.52083333333334,3412.5
"70",0.9375,2212.5
"70",0,4762.5
"71",66.8164682539683,3600
"71",329.672619047619,9575
"71",47.5357142857143,3325
"71",26.6388888888889,3062.5
"71",29.0734126984127,2987.5
"72",326.628968253968,11037.5
"72",278.053571428572,10050
"72",225.380952380953,10275
"72",189.360119047619,8150
"72",299.446428571429,9100
"73",307.333333333333,13762.5
"73",234.708333333333,10137.5
"73",291.375,12600
"73",352.583333333334,12550
"73",375.732142857143,10712.5
"74",2.89285714285714,6150
"74",5.625,2100
"74",32.5,3387.5
"74",37.125,3312.5
"74",16.5595238095238,1987.5
"75",234.758928571429,7125
"75",332,11837.5
"75",281.5,8512.5
"75",366.705357142857,7162.5
"75",383.102678571429,9675
"76",143.33630952381,4975
"76",235.605158730159,6125
"76",282.303571428572,8437.5
"76",187.398809523809,4262.5
"76",208.610119047619,6637.5
"77",254.56746031746,3387.5
"77",173.526785714286,3725
"77",127.282738095238,3662.5
"77",211.397817460318,5275
"77",144.589285714286,4750
"78",46.1666666666668,4962.5
"78",32.6309523809523,3587.5
"78",17.0386904761905,5925
"78",58.5,6050
"78",43.7261904761905,2900
"79",39.2906746031746,2450
"79",39.6220238095238,3725
"79",75.5912698412699,5050
"79",96.3869047619048,9812.5
"79",58.8988095238095,2600
"80",180.940476190476,4812.5
"80",205.625,8000
"80",115.133928571429,2862.5
"80",226.625,9875
"80",174.535714285714,5325
"81",283.696428571428,11137.5
"81",211.285714285714,8400
"81",265.875,9087.5
"81",274.339285714286,6900
"81",249.633928571429,8225
"82",157.190476190476,5637.5
"82",121.60119047619,7125
"82",129.070436507936,4287.5
"82",134.166666666667,6362.5
"82",184.277777777778,10025
"83",142.931547619047,8575
"83",237.145833333333,8250
"83",209.797619047619,7837.5
"83",245.25,7737.5
"83",302.511904761905,9100
"84",225.548611111111,6875
"84",372.636904761905,12000
"84",330.291170634921,7437.5
"84",342.890873015873,8837.5
"84",218.202380952381,8762.5
"98",210.044642857142,6550
"98",229.548611111111,4925
"98",256.863690476191,8037.5
"98",180.410714285714,3400
"98",248.097222222222,8537.5
"100",179.281746031746,6137.5
"100",290.125,11375
"100",184.644841269841,6287.5
"100",204.291666666667,11012.5
"100",262.3125,4712.5
"101",289.383928571428,6637.5
"101",243.9375,7012.5
"101",208.75,8250
"101",277.1875,6062.5
"101",288.107142857143,4650
"103",175.964285714286,10925
"103",179.125,7125
"103",271.623015873016,9275
"103",196.60119047619,8925
"103",237.103174603175,7637.5
"104",31.3988095238095,4100
"104",40.875,2462.5
"104",16.2142857142857,3137.5
"104",20.1666666666667,3875
"104",29.0625,4225
"105",210.458333333333,5737.5
"105",105.880952380952,4787.5
"105",163.104166666666,8512.5
"105",170.505952380952,10225
"105",164.133928571429,8450
"108",230.708333333334,7750
"108",177.934523809524,6275
"108",133.145833333333,4475
"108",183.492063492063,5787.5
"108",242.430555555556,5862.5
"110",6.83333333333334,4625
"110",2.5,4875
"110",1.90476190476191,1750
"110",5.625,2050
"110",4,1925
"112",24.1607142857143,2762.5
"112",90.2628968253968,6225
"112",64.4623015873016,3500
"112",86.2232142857142,3612.5
"112",81.6388888888887,2450
"113",25.2857142857143,550
"113",48.8700396825397,1300
"113",91.2460317460317,2150
"113",117.320436507937,862.500000000001
"113",97.625,1312.5
"114",280.422619047619,6812.5
"114",275.282738095238,5562.5
"114",306.801587301587,5437.5
"114",303.150793650794,7062.5
"114",279.339285714286,13762.5
"117",0,4112.5
"117",0,6525
"117",0,6550
"117",0,2937.5
"117",0,5487.5
"119",75.7083333333333,3187.5
"119",238.053571428571,7562.5
"119",226.988095238095,3787.5
"119",179.660714285714,6512.5
"119",238.840079365079,7275
"120",81.9583333333333,6912.5
"120",124.568452380952,7662.5
"120",57.9464285714285,7412.5
"120",47.8214285714286,8825
"120",104.640873015873,7575
"122",12.5238095238095,5100
"122",12.3333333333333,5800
"122",12.5,4062.5
"122",27.3928571428571,5712.5
"122",0,7425
"123",14,2925
"123",19.4196428571428,5950
"123",77.4791666666667,7887.5
"123",101.166666666667,5712.5
"123",68.7638888888889,3687.5
"124",67.1517857142857,2312.5
"124",69.7440476190476,4275
"124",105.079365079365,3062.5
"124",39.9166666666667,6300
"124",54.1964285714286,3800
"126",245.333333333333,9562.5
"126",127.479166666667,10137.5
"126",206.811507936508,6975
"126",169.998015873016,5412.5
"126",213.914682539682,4687.5
"130",28.9732142857143,7587.5
"130",0,6375
"130",0,4125
"130",4.99999999999999,6350
"130",26.25,3250
"131",129.708333333333,9487.5
"131",309.166666666667,10700
"131",231.944444444444,9012.5
"131",318.782738095238,10950
"131",257.5,11775
"133",261.473214285714,8412.5
"133",166.053571428572,7875
"133",123.589285714286,5025
"133",284.794642857143,9700
"133",534.583333333333,12125
"134",14.5208333333333,7387.5
"134",17.9375,7275
"134",9.25000000000001,6050
"134",6.875,3187.5
"134",2.25,3862.5
"135",30.2261904761905,7900
"135",39.1696428571429,4025
"135",40.1428571428571,3062.5
"135",21.047619047619,4887.5
"135",6,8037.5
"136",185.589285714285,6737.5
"136",172.258928571429,5525
"136",196.404761904762,5950
"136",222.083333333334,6375
"136",222.113095238095,10925
"137",209.895833333333,6412.5
"137",451.696428571429,13275
"137",219.214285714286,9000
"137",206.577380952381,11850
"137",269.833333333334,12037.5
"138",194.104166666667,7700
"138",205.9375,7712.5
"138",137.236111111111,6412.5
"138",191.208333333333,11287.5
"138",280.178571428572,7050
"139",244.97619047619,4787.5
"139",145.069444444444,5537.5
"139",173.994047619047,5212.5
"139",354.952380952381,5137.5
"139",344.910714285715,4000
"140",211.756944444444,4800
"140",200.964285714286,6025
"140",328.605952380952,9500
"140",304.527777777778,7625
"140",219.982142857143,7887.5
"141",300.575396825397,8425
"141",195.089285714286,4175
"141",218.825396825397,5975
"141",226.46746031746,9025
"141",324.589285714286,8487.5
"142",202.30753968254,7712.5
"142",136.928571428571,9550
"142",94.8958333333334,4862.5
"142",225.070436507936,7112.5
"142",190.345238095238,7812.5
"143",91.5525793650792,2462.5
"143",209.459325396826,4237.5
"143",185.760416666667,5737.5
"143",263.777777777778,6875
"143",337.341666666667,7800
"144",98.3154761904762,5300
"144",133.4375,7375
"144",117.559523809524,3925
"144",166.506944444444,5062.5
"144",103.686507936508,4037.5
"145",275.44494047619,9600
"145",267.305059523809,9500
"145",232.238095238095,9600
"145",356.393849206349,12675
"145",275.902777777778,7000
"146",201.089285714286,5250
"146",211.0625,5062.5
"146",194.984126984127,7800
"146",289.270833333333,6625
"146",275.104166666667,2937.5
"147",285.946428571429,7050
"147",291.924603174603,7250
"147",467.642857142857,13187.5
"147",341.330357142857,8637.5
"147",231.68253968254,6550
"149",18.2589285714285,6487.5
"149",18.7708333333333,2125
"149",61.0982142857143,8600
"149",14.1041666666667,4250
"149",29.125,4450
"150",301.382936507936,4850
"150",403.291666666667,8275.00000000001
"150",321.714285714285,10312.5
"150",269.547619047619,7287.5
"150",378.392857142857,10100
"152",428.166666666667,7700
"152",186.28869047619,4700
"152",295.25,7862.5
"152",178.853174603175,5137.5
"152",213.118055555556,5287.5
"153",457.107142857143,12675
"153",375.608134920635,9175
"153",295.325396825397,5625
"153",250.341071428572,7362.5
"153",368.440476190476,8800
"154",180.20634920635,7037.5
"154",214.329365079365,4700
"154",210.755952380952,8912.5
"154",235.3125,3387.5
"154",277.470238095238,4062.5
"155",237.75,10825
"155",253.743055555555,6200
"155",280.363095238095,10850
"155",341.985119047619,7825
"155",281.642857142857,6912.5
"156",88.4226190476191,2512.5
"156",115.571428571429,5762.5
"156",117.34623015873,2700
"156",110.097222222222,462.5
"156",100.910714285714,6412.5
"157",297.228174603175,7287.5
"157",309.190476190476,9287.5
"157",355.261904761905,14187.5
"157",395.375,10987.5
"157",298.815476190476,5050
"158",75.2976190476191,1675
"158",159.666666666667,3650
"158",112.470238095238,3800
"158",120.910714285714,6575
"158",181.967261904762,3325
"159",112.071428571429,2950
"159",105.244047619048,6737.5
"159",197.617857142857,5387.5
"159",234.390873015873,8525
"159",42.9503968253968,2500
"160",103.741071428571,4600
"160",83.1785714285715,6225
"160",81.2361111111111,5887.5
"160",260.869047619048,9662.5
"160",237.595238095238,9225
"161",172.439484126984,5525
"161",72.3125,5775
"161",159.213293650794,3800
"161",238.035714285715,5762.5
"161",212.809523809524,5462.5
"162",24.5833333333333,4712.5
"162",67.1964285714285,6875
"162",59.5029761904763,4687.5
"162",54.3373015873016,1025
"162",81.2976190476191,6587.5
"163",52.4900793650794,2412.5
"163",112.078373015873,7737.5
"163",77.5833333333333,4775
"163",146.892857142857,4937.5
"163",118.099206349206,4112.5
"164",179.571428571429,7900
"164",228.916666666666,10200
"164",247.791666666667,9312.5
"164",345.422619047619,11237.5
"164",440,15012.5
"165",60.8571428571429,4825
"165",86.9910714285714,8262.5
"165",122.030753968254,5337.5
"165",64.625,6600
"165",44.8958333333334,4787.5
"166",30.7857142857143,3837.5
"166",73.6339285714286,4637.5
"166",86.5297619047619,5225
"166",17.6636904761905,4412.5
"166",37.2559523809523,2925
"167",297.767857142857,10575
"167",304.416666666667,8662.5
"167",340.482142857143,9637.5
"167",189.888888888889,8862.5
"167",263.994047619048,9962.5
"168",372.910714285714,14175
"168",295.444444444444,8537.5
"168",163.821428571429,6237.5
"168",247.178571428571,10537.5
"168",237.574404761905,8625
"169",259.449404761905,9000
"169",360.845238095238,10200
"169",259.72123015873,8425
"169",390.321428571428,7912.5
"169",355.596428571429,10500
"171",156.547619047619,8062.5
"171",205.044642857143,7362.5
"171",197.053571428571,8187.5
"171",188.805555555555,4775
"171",222.714285714285,3800
"172",84.0813492063491,2887.5
"172",145.744047619048,3912.5
"172",261.857142857143,4987.5
"172",223.833333333333,5400
"172",179.663690476191,7187.5
"173",53.9285714285714,7862.5
"173",69.3571428571428,2125
"173",37.5396825396826,3537.5
"173",71.4880952380952,4475
"173",48.4821428571429,2225
"174",14.9642857142857,8250
"174",37.2857142857143,5437.5
"174",12.0535714285714,5150
"174",16.0714285714286,7975
"174",15.4791666666667,6400
"183",54.3809523809524,6912.5
"183",37.4821428571429,2900
"183",14.1071428571429,4375
"183",32.875,3775
"183",40.9791666666666,2462.5
"199",143.829365079365,5887.5
"199",228.068452380952,6825
"199",77.8184523809524,5725
"199",47.3690476190476,2000
"199",28.4732142857142,2700
"200",252.946428571429,7325
"200",164.671626984127,6762.5
"200",249.958333333334,6187.5
"200",232.107142857143,6775
"200",221.598214285715,3800
"203",0,1187.5
"203",0,2475
"203",4.16666666666667,2512.5
"203",2.14285714285715,1875
"203",0,2025
"205",114.340277777778,2025
"205",208.541666666666,7137.5
"205",136.326388888889,3575
"205",146.540674603174,3350
"205",98.3313492063492,1950
"212",71.9999999999999,10812.5
"212",126.238095238096,6112.5
"212",169.880952380953,4087.5
"212",132.901785714286,7000
"212",148.699404761905,8662.5
"213",169.982142857143,3950
"213",216.657738095238,6387.5
"213",252.797619047619,11250
"213",296.226190476191,9037.5
"213",273.125,11987.5
"214",192.333333333334,6912.5
"214",292.595238095238,8650
"214",275.017857142857,7612.5
"214",272.779761904762,8375
"214",263.998015873016,7375
"216",187.625,8087.5
"216",224.280753968253,7537.5
"216",266.125,8162.5
"216",216.083333333333,10475
"216",266.776785714286,7812.5
"218",92.5833333333333,2650
"218",151.875992063492,6662.5
"218",63.5,2912.5
"218",59.2311507936508,3625
"218",63.5654761904762,5112.5
"219",257.910714285715,7800
"219",172.574404761905,7862.5
"219",327.545634920635,10462.5
"219",315.264880952381,9212.5
"219",304.285714285714,5987.5
"220",234.154761904762,9025
"220",205.886904761905,9987.5
"220",300.952380952381,11462.5
"220",255.4,9362.5
"220",220.25,11300
"222",42.9464285714286,3375
"222",45.4732142857143,6162.5
"222",26.6934523809523,7925
"222",146.25,12625
"222",107.625,10150
"226",47.8125,5425
"226",57.2797619047619,4462.5
"226",136.079365079365,5662.5
"226",190.671626984127,9312.5
"226",98.4166666666666,4462.5
"228",386.517857142857,10500
"228",284.568452380953,7700
"228",220.474603174603,6312.5
"228",286.906746031746,7950
"228",228.097222222222,7062.5
"229",213.35119047619,7387.5
"229",266.77380952381,10425
"229",186.636904761905,10012.5
"229",344.133928571429,10237.5
"229",339.5375,10325
"230",56.6547619047619,887.5
"230",135.695436507937,4525
"230",45.1428571428571,2662.5
"230",128.479166666667,3812.5
"230",108.581845238095,3625
"232",341.165674603175,7300
"232",268.803571428571,7025
"232",227.638888888889,6450
"232",238.882936507937,5100
"232",326.994047619048,8662.5
"233",202.285714285714,5662.5
"233",195.25,6650
"233",285.130952380953,7462.5
"233",234.305555555555,6525
"233",230.864087301587,7750
"236",197.030753968254,3612.5
"236",150.494047619048,3987.5
"236",194.178571428572,6175
"236",250.508333333334,9275
"236",252.460317460317,3712.5
"237",240.160714285714,7275
"237",197.517857142857,12637.5
"237",322.636904761905,12962.5
"237",324.241071428571,8150
"237",265.589285714286,6362.5
"242",369.125,12600
"242",205.934523809523,7262.5
"242",171.261904761905,10425
"242",246.001984126984,10200
"242",288.875,8537.5
"245",166.568452380952,5400
"245",232.15873015873,6400
"245",263.634920634921,7925
"245",239.181547619048,6400
"245",229.416666666667,550
"248",170.592261904762,7775
"248",94.3065476190476,4312.5
"248",116.551587301587,5812.5
"248",163.18253968254,4550
"248",207.5,6987.5
"249",88.2797619047618,3587.5
"249",181.418650793651,3750
"249",104.505952380952,5937.5
"249",63.9166666666667,6812.5
"249",89.7023809523809,6562.5
